,Kingdom,Phylum,Class,Order,Family,Confidence
ASV2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,1
ASV3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV4,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,1
ASV5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,1
ASV6,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,1
ASV7,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,NA,1
ASV8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,1
ASV9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,1
ASV10,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV11,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,1
ASV12,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,1
ASV13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,1
ASV14,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,1
ASV15,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,1
ASV16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,1
ASV17,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV18,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,0.67
ASV19,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,1
ASV20,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,1
ASV21,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV22,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV23,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV24,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,1
ASV25,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV28,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV29,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,1
ASV30,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,1
ASV31,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,0.67
ASV32,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,1
ASV33,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV35,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,1
ASV36,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,1
ASV37,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,1
ASV38,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV39,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV40,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,1
ASV41,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,1
ASV42,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,1
ASV43,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,0.67
ASV44,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,NA,1
ASV47,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV48,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,1
ASV49,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,1
ASV50,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV51,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,1
ASV52,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV53,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,0.67
ASV54,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV55,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,1
ASV56,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,1
ASV57,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV58,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV59,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV60,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV61,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,1
ASV62,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,0.67
ASV63,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,1
ASV64,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV65,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV66,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,1
ASV67,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,1
ASV69,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,0.67
ASV70,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,1
ASV71,Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,1
ASV72,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,1
ASV73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,1
ASV74,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV75,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV76,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV77,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV78,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,1
ASV79,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV80,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,1
ASV81,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV82,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,1
ASV83,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV84,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV85,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV86,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,1
ASV88,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV89,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,1
ASV90,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV91,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,1
ASV92,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,1
ASV93,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV94,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV95,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV96,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,1
ASV97,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,1
ASV98,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV99,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,1
ASV100,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,NA,1
ASV101,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,1
ASV102,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV103,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,1
ASV104,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,1
ASV105,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV106,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV107,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV108,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,1
ASV109,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV110,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV111,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1
ASV112,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,1
ASV113,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,1
ASV114,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV115,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV116,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV117,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV121,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV122,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,1
ASV123,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV125,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,0.67
ASV126,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,NA,0.67
ASV127,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,1
ASV128,Bacteria,Chloroflexi,Ellin6529,NA,NA,1
ASV129,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,1
ASV130,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,1
ASV131,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV132,Bacteria,Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,1
ASV133,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV134,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV135,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Ellin5301,1
ASV136,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,0.67
ASV137,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1
ASV138,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV139,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,1
ASV141,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV143,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV144,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV146,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV148,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,1
ASV149,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,NA,1
ASV151,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,1
ASV152,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV153,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,1
ASV154,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,0.67
ASV156,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,1
ASV157,Bacteria,Chloroflexi,Chloroflexi,Roseiflexales,Kouleothrixaceae,1
ASV158,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV160,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV161,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,1
ASV162,Bacteria,Chloroflexi,Chloroflexi,Herpetosiphonales,NA,1
ASV163,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV164,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,1
ASV165,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,1
ASV168,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,NA,1
ASV169,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1
ASV170,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,0.67
ASV171,Bacteria,Gemmatimonadetes,Gemmatimonadetes,NA,NA,1
ASV172,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV173,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,1
ASV174,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV175,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,1
ASV176,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV178,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV179,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV180,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV181,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,1
ASV182,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV183,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV184,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,1
ASV185,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,1
ASV186,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,1
ASV187,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,NA,1
ASV188,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,NA,1
ASV189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,1
ASV190,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,1
ASV191,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV192,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV193,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV194,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,1
ASV195,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,1
ASV196,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,NA,1
ASV197,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,1
ASV198,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,1
ASV199,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,1
ASV200,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,NA,1
ASV201,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,1
ASV202,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,1
ASV203,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,NA,0.67
ASV204,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nakamurellaceae,1
ASV206,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV207,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV208,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,1
ASV209,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV210,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV211,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1
ASV213,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV215,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,1
ASV216,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV218,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV219,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,1
ASV220,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,1
ASV221,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,1
ASV222,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,1
ASV224,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,NA,1
ASV225,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Ellin5301,1
ASV226,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV227,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,1
ASV228,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV229,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV231,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,1
ASV232,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV233,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV234,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV235,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV236,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,NA,1
ASV239,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,1
ASV240,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,NA,1
ASV241,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,NA,1
ASV242,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,1
ASV243,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV244,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV245,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV249,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,1
ASV252,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV253,Bacteria,Acidobacteria,Chloracidobacteria,RB41,Ellin6075,1
ASV254,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,1
ASV255,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV256,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,1
ASV257,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,1
ASV258,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV260,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,1
ASV261,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV262,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,1
ASV263,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,1
ASV264,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV266,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV268,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,1
ASV269,Bacteria,Firmicutes,Bacilli,Bacillales,Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,1
ASV270,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV271,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV272,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV273,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,0.67
ASV274,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1
ASV275,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV276,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV277,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV278,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,1
ASV279,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV280,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,1
ASV281,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV282,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,0.67
ASV283,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV284,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV285,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,1
ASV286,Bacteria,FBP,NA,NA,NA,1
ASV287,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,1
ASV288,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV289,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV290,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV291,Bacteria,Proteobacteria,Betaproteobacteria,IS-44,NA,1
ASV292,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV293,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,1
ASV294,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,1
ASV297,Bacteria,Proteobacteria,Betaproteobacteria,NA,NA,1
ASV298,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV299,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,NA,0.67
ASV300,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,1
ASV301,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,0.67
ASV302,Bacteria,Acidobacteria,Chloracidobacteria,RB41,Ellin6075,1
ASV303,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV304,Bacteria,Armatimonadetes,Armatimonadia,FW68,NA,1
ASV305,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,1
ASV306,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Williamsiaceae,1
ASV307,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,1
ASV308,Bacteria,Cyanobacteria,Chloroplast,Stramenopiles,NA,1
ASV309,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV310,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,1
ASV311,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV312,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,1
ASV313,Bacteria,Gemmatimonadetes,Gemmatimonadetes,N1423WL,NA,1
ASV314,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,1
ASV315,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV316,Bacteria,Acidobacteria,Chloracidobacteria,RB41,Ellin6075,1
ASV317,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV319,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV321,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV322,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,1
ASV323,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,0.67
ASV324,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV325,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,1
ASV326,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,1
ASV327,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV328,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,0.67
ASV329,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV330,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,1
ASV331,Bacteria,Acidobacteria,Sva0725,Sva0725,NA,1
ASV334,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,1
ASV335,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV336,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,1
ASV337,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,1
ASV338,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV339,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV340,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,1
